SEGMENTO_PAIS|TIPO_DOCUMENTO|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|SUNAT_ESTADO_RUC|SUNAT_ESTADO_CONTRIBUYENTE|SUNAT_DEPARTAMENTO|SUNAT_PROVINCIA|SUNAT_DISTRITO
SEGMENTO_002|RUC|2042422772|CLIENT_00369|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_002|RUC|2006917349|CLIENT_00708|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2094402346|CLIENT_00137|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2088958700|CLIENT_00840|HABIDO|ACTIVO|LIMA|Lima|Chorrillos
SEGMENTO_004|RUC|2047770405|CLIENT_00867|HABIDO|ACTIVO|PUNO|Puno|Puno
SEGMENTO_004|RUC|2044349038|CLIENT_00549|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco
SEGMENTO_004|RUC|2074327800|CLIENT_00822|HABIDO|ACTIVO|CAJAMARCA|Jaén|Jaén
SEGMENTO_004|RUC|2037154486|CLIENT_00895|HABIDO|ACTIVO|JUNIN|Yauli|Santa Rosa de Sacco
SEGMENTO_004|RUC|2054712522|CLIENT_00762|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2053937831|CLIENT_00322|HABIDO|ACTIVO|LIMA|Lima|Lurigancho
SEGMENTO_003|RUC|2008935428|CLIENT_00164|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2075370034|CLIENT_00145|HABIDO|ACTIVO|LIMA|Lima|Comas
SEGMENTO_004|RUC|2027355887|CLIENT_00755|HABIDO|ACTIVO|LIMA|Lima|San Miguel
SEGMENTO_004|RUC|2068741039|CLIENT_00328|HABIDO|ACTIVO|LIMA|Lima|La Molina
SEGMENTO_004|RUC|2074819724|CLIENT_00638|HABIDO|ACTIVO|LIMA|Lima|Puente Piedra
SEGMENTO_002|RUC|2009118790|CLIENT_00144|HABIDO|ACTIVO|LIMA|Lima|San Borja
SEGMENTO_004|RUC|2001580114|CLIENT_00016|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|1042862786|CLIENT_00787|HABIDO|ACTIVO|LIMA|Lima|Miraflores
SEGMENTO_004|RUC|2009716777|CLIENT_00151|HABIDO|ACTIVO|ANCASH|Santa|Chimbote
SEGMENTO_004|RUC|2062201122|CLIENT_00210|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores
SEGMENTO_004|RUC|2077048357|CLIENT_00123|HABIDO|ACTIVO|ANCASH|Santa|Chimbote
SEGMENTO_004|RUC|2057229878|CLIENT_00373|HABIDO|ACTIVO|JUNIN|Chanchamayo|Chanchamayo
SEGMENTO_004|RUC|2024668089|CLIENT_00504|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2087799939|CLIENT_00195|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo
SEGMENTO_004|RUC|2007774830|CLIENT_00695|HABIDO|ACTIVO|HUANUCO|Huánuco|Huanuco
SEGMENTO_004|RUC|2090276302|CLIENT_00771|HABIDO|ACTIVO|LA LIBERTAD|Trujillo|Trujillo
SEGMENTO_004|RUC|2046916374|CLIENT_00711|HABIDO|ACTIVO|ICA|Pisco|Pisco
SEGMENTO_002|RUC|2050799857|CLIENT_00697|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2088077505|CLIENT_00777|HABIDO|ACTIVO|LIMA|Huaura|Huacho
SEGMENTO_002|RUC|2039216584|CLIENT_00936|HABIDO|ACTIVO|LIMA|Lima|San Isidro
SEGMENTO_004|RUC|2078965242|CLIENT_00922|HABIDO|ACTIVO|AYACUCHO|Huamanga|Ayacucho
SEGMENTO_004|RUC|2007950781|CLIENT_00069|HABIDO|ACTIVO|LORETO|Maynas|Iquitos
SEGMENTO_004|RUC|2024496152|CLIENT_00315|HABIDO|ACTIVO|AREQUIPA|Arequipa|Cerro Colorado
SEGMENTO_004|RUC|2004240244|CLIENT_00422|HABIDO|ACTIVO|AREQUIPA|Arequipa|Yanahuara
SEGMENTO_002|RUC|2087028740|CLIENT_00487|HABIDO|ACTIVO|LIMA|Lima|Lima
SEGMENTO_004|RUC|2068789568|CLIENT_00153|HABIDO|ACTIVO|LIMA|Lima|San Martín de Porres
