TIPO_DOCUMENTO|NRO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|SISTEMA|FACTURA_AFECTADA|FECHA_PAGO|MONEDA_FACTURA|SUBTOTAL|IGV|MONTO_PAGADO
Pago|2069501836|CLIENT_00263|270249021|473250537|AMDOCS|S5AA-0080477319|2026-06-03 00:00:00|PEN|44.71|9.82|54.53
Pago|2039660724|CLIENT_00161|784058921|020819157|AMDOCS|S3AA-0078403563|2026-06-03 00:00:00|PEN|187.76|41.21|228.97
Pago|2090272538|CLIENT_00506|706451821|949891957|AMDOCS|S5AA-0080736968|2026-06-03 00:00:00|PEN|86.04|18.89|104.93
Pago|2023093512|CLIENT_00451|671355911|675360267|AMDOCS|S9AA-0083166797|2026-07-24 00:00:00|PEN|59.26|10.67|69.93
Pago|2028234821|CLIENT_00026|012620321|010758937|AMDOCS|S5AA-0081709608|2026-07-24 00:00:00|PEN|72.61|13.07|85.68
Pago|2058797594|CLIENT_00421|53591575|146920023|AMDOCS|S1AA-0052574008|2026-07-24 00:00:00|PEN|18.63|3.35|21.98
Pago|2001034891|CLIENT_00812|25776706|184557506|AMDOCS|S9AA-0081225518|2026-06-02 00:00:00|PEN|78.98|17.34|96.32
Pago|2040265328|CLIENT_00922|23224575|205311463|AMDOCS|S3AA-0077864305|2026-06-02 00:00:00|PEN|18.31|4.02|22.33
Pago|2052913932|CLIENT_00961|34087016|775850606|AMDOCS|S5AA-0080261689|2026-06-02 00:00:00|PEN|20.03|4.40|24.43
Pago|2032635276|CLIENT_00664|762647921|859207157|AMDOCS|S3AA-0078209409|2026-06-02 00:00:00|PEN|72.73|15.96|88.69
Pago|2097496783|CLIENT_00785|177349331|280533857|AMDOCS|S7AA-0066808525|2026-06-01 00:00:00|PEN|88.86|19.50|108.36
Pago|2025424256|CLIENT_00721|297043021|341943067|AMDOCS|S3AA-0078454964|2026-06-01 00:00:00|PEN|22.90|5.03|27.93
Pago|2049248011|CLIENT_00721|297043021|435943067|AMDOCS|S3AA-0078454965|2026-06-01 00:00:00|PEN|22.90|5.03|27.93
Pago|2047006078|CLIENT_00721|297043021|536553067|AMDOCS|S3AA-0078454966|2026-06-01 00:00:00|PEN|22.90|5.03|27.93
Pago|2037889248|CLIENT_00761|12041575|516592593|AMDOCS|S3AA-0077757961|2026-06-01 00:00:00|PEN|52.18|11.45|63.63
Pago|2025967685|CLIENT_00216|35646575|197032201|AMDOCS|S3AA-0078057424|2026-06-01 00:00:00|PEN|20.43|4.49|24.92
Pago|2049444864|CLIENT_00216|35646575|410047257|AMDOCS|S3AA-0078073721|2026-06-01 00:00:00|PEN|40.12|8.81|48.93
Pago|2054952460|CLIENT_00761|12041575|736592593|AMDOCS|S3AA-0077757962|2026-06-01 00:00:00|PEN|52.18|11.45|63.63
Pago|2073650405|CLIENT_00761|12041575|202389647|AMDOCS|S3AA-0077761752|2026-06-01 00:00:00|PEN|24.62|5.41|30.03
Pago|2038638301|CLIENT_00391|543454421|354077447|AMDOCS|S3AA-0077994514|2026-06-01 00:00:00|PEN|64.58|14.18|78.75
Pago|2081042486|CLIENT_00385|159200|74268100|ISIS|S300-248301|2026-06-01 00:00:00|PEN|833.11|182.88|1015.98
Pago|2090130796|CLIENT_00833|871323321|472868847|AMDOCS|S7AA-0067777959|2026-06-11 00:00:00|PEN|34.38|7.55|41.93
Pago|2073105592|CLIENT_00280|359903621|915571457|AMDOCS|S5AA-0079960866|2026-06-15 00:00:00|PEN|2.24|.49|2.73
Pago|2044682710|CLIENT_00280|359903621|915571457|AMDOCS|S5AA-0080339066|2026-06-15 00:00:00|PEN|12.00|2.63|14.63
Pago|2098363854|CLIENT_00063|80290575|900256073|AMDOCS|S1AA-0051041010|2026-06-15 00:00:00|PEN|76.92|16.88|93.80
Pago|2037440491|CLIENT_00063|80290575|200705357|AMDOCS|S1AA-0051044205|2026-06-15 00:00:00|PEN|86.04|18.89|104.93
Pago|2024997959|CLIENT_00063|74454006|461430506|AMDOCS|S9AA-0081181566|2026-06-15 00:00:00|PEN|91.78|20.15|111.93
Pago|2072434987|CLIENT_00063|66883006|651430506|AMDOCS|S9AA-0080472678|2026-06-15 00:00:00|PEN|90.66|19.90|110.57
Pago|2091859333|CLIENT_00063|80290575|421513101|AMDOCS|S1AA-0051039813|2026-06-15 00:00:00|PEN|2298.53|504.55|2803.08
Pago|2081181548|CLIENT_00063|80290575|478621057|AMDOCS|S1AA-0051043680|2026-06-15 00:00:00|PEN|460.18|101.01|561.19
Pago|2027367955|CLIENT_00063|85883006|081430506|AMDOCS|S9AA-0081277317|2026-06-15 00:00:00|PEN|98.38|21.60|119.98
Pago|2006205471|CLIENT_00063|09924006|041430506|AMDOCS|S9AA-0080684196|2026-06-15 00:00:00|PEN|57.40|12.60|70.00
Pago|2096287205|CLIENT_00063|66883006|651430506|AMDOCS|S9AA-0081347074|2026-06-15 00:00:00|PEN|91.78|20.15|111.93
Pago|2038307088|CLIENT_00063|80290575|900256073|AMDOCS|S1AA-0050336083|2026-06-15 00:00:00|PEN|76.92|16.88|93.80
Pago|2098134919|CLIENT_00063|80290575|200705357|AMDOCS|S1AA-0050339382|2026-06-15 00:00:00|PEN|86.04|18.89|104.93
Pago|2028958514|CLIENT_00063|80290575|421513101|AMDOCS|S1AA-0050334876|2026-06-15 00:00:00|PEN|2298.47|504.54|2803.01
Pago|2099153289|CLIENT_00063|80290575|478621057|AMDOCS|S1AA-0050338829|2026-06-15 00:00:00|PEN|460.23|101.03|561.26
Pago|2024266925|CLIENT_00922|23224575|021311463|AMDOCS|S3AA-0077864304|2026-06-03 00:00:00|PEN|21.75|4.78|26.53
Pago|2045653206|CLIENT_00799|37534575|185213753|AMDOCS|S7AA-0067728585|2026-06-03 00:00:00|PEN|70.89|15.56|86.45
Pago|2002500138|CLIENT_00445|92763575|582891443|AMDOCS|S7AA-0069107614|2026-06-13 00:00:00|PEN|.73|.13|.86
Pago|2009434261|CLIENT_00759|274096121|010266957|AMDOCS|S7AA-0069488093|2026-07-14 00:00:00|PEN|1.78|.32|2.10
Pago|2083673976|CLIENT_00445|92763575|582891443|AMDOCS|S7AA-0069107614|2026-07-18 00:00:00|PEN|3.02|.55|3.56
Pago|2035711012|CLIENT_00432|63816575|653770601|AMDOCS|S1AA-0052580388|2026-07-24 00:00:00|PEN|32.07|5.78|37.84
Pago|2091733360|CLIENT_00277|06703575|437263783|AMDOCS|S3AA-0078136428|2026-06-01 00:00:00|PEN|32.66|7.17|39.83
Pago|2033646347|CLIENT_00497|308952621|376699547|AMDOCS|S3AA-0077586848|2026-06-01 00:00:00|PEN|50.45|11.08|61.53
Pago|2085048217|CLIENT_00031|120124111|039509527|AMDOCS|S5AA-0080837369|2026-06-01 00:00:00|PEN|24.05|5.28|29.33
Pago|2060826481|CLIENT_00672|11187395|135583406|AMDOCS|S5AA-0080761404|2026-06-01 00:00:00|PEN|49.31|10.82|60.13
Pago|2078386304|CLIENT_00703|645411321|943050047|AMDOCS|S9AA-0082449741|2026-06-04 00:00:00|PEN|146.14|32.08|178.22
Pago|2049903266|CLIENT_00759|274096121|010266957|AMDOCS|S7AA-0067726870|2026-06-04 00:00:00|PEN|51.60|11.33|62.93
Pago|2078414316|CLIENT_00986|38443785|347547306|AMDOCS|S9AA-0081892809|2026-06-04 00:00:00|PEN|83.75|18.38|102.13
Pago|2078847538|CLIENT_00072|213179011|948557757|AMDOCS|S9AA-0082149518|2026-06-04 00:00:00|PEN|103.26|22.67|125.93
Pago|2036568728|CLIENT_00322|207418801|097103947|AMDOCS|S5AA-0080684586|2026-06-04 00:00:00|PEN|95.80|21.03|116.83
Pago|2006477444|CLIENT_00815|10405516|624523957|AMDOCS|S9AA-0082063485|2026-06-04 00:00:00|PEN|12.00|2.63|14.63
Pago|2035102698|CLIENT_00950|319965321|886860147|AMDOCS|S9AA-0082156070|2026-06-04 00:00:00|PEN|22.33|4.90|27.23
Pago|2096202915|CLIENT_00459|637638531|603421167|AMDOCS|S6AA-0000033006|2026-06-04 00:00:00|PEN|17.16|3.77|20.93
Pago|2099953676|CLIENT_00950|65458595|707795406|AMDOCS|S9AA-0081651437|2026-06-04 00:00:00|PEN|23.76|5.22|28.98
